SiteCode,VariableCode,TSN,LabSampleCode,DataValue,CensorCode,OffsetValue,OffsetUnits,OffsetDescription,ValueAccuracy
70-145,Be-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,0.002,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Cd-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,7.41,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Cr-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,3.04,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.01
70-145,Cu-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,52.4,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.7
70-145,Fe-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,45.7,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,2.5
70-145,Hg-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,0.295,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Hg-MM,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,0.213,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Mn-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,12.5,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,1.1
70-145,Ni-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,4.31,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.004
70-145,Pb-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,0.067,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Sb-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,0.014,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Se-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,3.14,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.03
70-145,Sn-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,0.005,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Tl-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,0.008,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.0001
70-145,V-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,4.48,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.002
70-145,Zn-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,154,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.4
70-145,Water-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,74.3,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.1
70-145,Ag-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,1.34,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.004
70-145,Al-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,208,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,2.3
70-145,As-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,25.5,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.012
70-145,Ba-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,8.32,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.01
70-145,Be-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,0.003,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Cd-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,7.22,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Cr-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,0.93,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.01
70-145,Cu-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,47.8,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.7
70-145,Fe-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,112,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,2.5
70-145,Hg-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,0.217,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
